coin,URL,count
bitcoin,http://duckdfcygebarbf4xngzc7ogiwl4uswjjekfolu6cmubo5774oy6d6qd.onion/,5
bitcoin,http://thkdqidwkss3wntyjsd4uyy3i25tiu6hkogd62hd5cxr4ep6kpftwuyd.onion/,1
ethereum,http://thkdqidwkss3wntyjsd4uyy3i25tiu6hkogd62hd5cxr4ep6kpftwuyd.onion/,1
litecoin,http://thkdqidwkss3wntyjsd4uyy3i25tiu6hkogd62hd5cxr4ep6kpftwuyd.onion/,1
bitcoin,http://apreaodu6y46fu5xg5tkm3o3ejja4nq2ijg4reswgmxks6w45rr3axyd.onion/,10
bitcoin,http://2a2a2abbjsjcjwfuozip6idfxsxyowoi3ajqyehqzfqyxezhacur7oyd.onion,10
bitcoin,http://6bdg5y5ab55p6jdojtl2llv4rm5gvykbz5isdlwkcq7kxy6l22jb2aad.onion/,1
bitcoin,http://airvpn3epnw2fnsbx5x2ppzjs6vxtdarldas7wjyqvhscj7x43fxylqd.onion/,2
monero,http://airvpn3epnw2fnsbx5x2ppzjs6vxtdarldas7wjyqvhscj7x43fxylqd.onion/,1
ethereum,http://airvpn3epnw2fnsbx5x2ppzjs6vxtdarldas7wjyqvhscj7x43fxylqd.onion/,1
litecoin,http://airvpn3epnw2fnsbx5x2ppzjs6vxtdarldas7wjyqvhscj7x43fxylqd.onion/,1
bitcoin,http://proh3kzisrnmnxznebk6ugix4sktlu3wdemn4vcbejeeh3awj5c4nryd.onion,6
ethereum,http://proh3kzisrnmnxznebk6ugix4sktlu3wdemn4vcbejeeh3awj5c4nryd.onion,1
